,RankTHE,Name,No. of FTE students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
775,601-800,Xi’an Jiaotong-Liverpool University,"15,767",19.9,5%,52 : 48,34.0–39.2,17.8,14.8,68.2,38.2,72.4
776,601-800,Yokohama City University,"5,073",6.0,2%,56 : 44,34.0–39.2,26.4,10.2,82.8,47.6,25.2
777,601-800,Zhengzhou University,"70,824",17.5,3%,49 : 51,34.0–39.2,17.8,15.4,71.8,38.3,22.2
778,801-1000,University of the Aegean,"22,148",68.4,1%,55 : 45,29.8–33.9,17.3,19.3,53.7,62.8,34.7
779,801-1000,"University of Agriculture, Faisalabad","27,826",42.4,0%,45 : 55,29.8–33.9,24.0,17.4,55.3,46.7,45.0
780,801-1000,The University of Aizu,"1,217",12.1,9%,11 : 89,29.8–33.9,21.9,13.0,50.8,40.0,74.6
781,801-1000,The University of Alabama,"35,457",20.9,4%,56 : 44,29.8–33.9,27.2,19.1,54.2,37.5,31.0
782,801-1000,Al-Azhar University,"425,977",38.4,6%,38 : 62,29.8–33.9,14.9,9.6,63.3,37.0,48.7
783,801-1000,Al-Balqa Applied University,"28,178",27.7,2%,59 : 41,29.8–33.9,12.9,11.7,69.8,41.2,41.3
784,801-1000,University of Alcalá,"15,941",10.2,24%,60 : 40,29.8–33.9,21.3,14.0,50.8,39.4,60.4
785,801-1000,Alexandria University,"202,206",28.2,4%,52 : 48,29.8–33.9,18.6,13.7,56.2,40.7,46.1
786,801-1000,Aligarh Muslim University,"20,428",12.1,2%,40 : 60,29.8–33.9,35.7,12.9,51.1,40.0,27.7
787,801-1000,American University in Cairo,"5,921",13.7,5%,56 : 44,29.8–33.9,24.4,26.6,32.5,40.4,64.4
788,801-1000,Anna University,"15,149",15.9,1%,43 : 57,29.8–33.9,21.3,26.6,53.5,45.2,16.5
789,801-1000,University of Applied Sciences and Arts of Western Switzerland,"17,491",6.5,30%,53 : 47,29.8–33.9,21.0,11.4,41.2,40.4,90.5
790,801-1000,Aristotle University of Thessaloniki,"49,840",19.7,5%,58 : 42,29.8–33.9,19.0,16.2,56.9,41.4,40.4
791,801-1000,Athens University of Economics and Business,"9,682",51.0,6%,45 : 55,29.8–33.9,18.3,26.6,42.1,38.9,48.4
792,801-1000,Universidad Autónoma de Chile,"27,474",22.9,1%,63 : 37,29.8–33.9,13.2,10.2,72.4,36.9,49.7
793,801-1000,University of Aveiro,"12,566",15.1,10%,54 : 46,29.8–33.9,25.9,25.7,40.2,39.0,50.4
794,801-1000,University of the Balearic Islands,"11,493",11.8,8%,60 : 40,29.8–33.9,19.2,16.3,51.2,37.0,49.6
795,801-1000,University of the Basque Country,"43,018",15.4,6%,55 : 45,29.8–33.9,21.5,21.8,51.7,39.6,44.5
796,801-1000,University of Bedfordshire,"13,175",29.6,59%,59 : 41,29.8–33.9,17.9,15.2,49.7,37.1,79.2
797,801-1000,University of Beira Interior,"7,861",17.0,22%,53 : 47,29.8–33.9,17.8,20.9,50.6,38.4,58.1
798,801-1000,University of Belgrade,"93,251",18.9,5%,62 : 38,29.8–33.9,21.1,33.0,44.5,42.9,43.4
799,801-1000,Beni-Suef University,"82,124",28.3,1%,50 : 50,29.8–33.9,17.9,8.7,67.8,36.9,45.9
800,801-1000,University of Bergamo,"22,115",60.9,7%,62 : 38,29.8–33.9,18.2,22.4,51.5,41.2,35.5
801,801-1000,Bharathiar University,"4,097",18.8,0%,63 : 37,29.8–33.9,36.6,27.6,30.4,37.5,23.7
802,801-1000,Bilkent University,"9,682",14.2,8%,46 : 54,29.8–33.9,23.4,24.2,43.5,55.3,63.7
803,801-1000,"Birla Institute of Technology and Science, Pilani","15,651",18.1,2%,19 : 81,29.8–33.9,20.3,11.3,63.8,38.2,19.8
804,801-1000,Boğaziçi University,"12,614",22.3,3%,45 : 55,29.8–33.9,24.4,24.6,39.8,54.1,41.8
805,801-1000,University of Brighton,"15,015",16.8,22%,60 : 40,29.8–33.9,17.9,15.6,53.0,37.6,78.0
806,801-1000,Cairo University,"224,216",36.8,4%,54 : 46,29.8–33.9,23.6,17.1,51.7,37.6,38.7
807,801-1000,University of Calabria,"19,788",23.2,3%,57 : 43,29.8–33.9,17.1,18.0,57.3,37.4,37.9
808,801-1000,Chapman University,"9,332",12.8,8%,61 : 39,29.8–33.9,38.5,13.9,43.3,37.4,40.6
809,801-1000,Institute of Chemical Technology,"2,550",17.2,0%,30 : 70,29.8–33.9,38.1,19.9,35.6,42.5,15.1
810,801-1000,Chengdu University,"22,762",16.3,2%,59 : 41,29.8–33.9,16.5,10.6,67.5,42.7,22.4
811,801-1000,"China University of Petroleum, Beijing","17,001",17.4,4%,,29.8–33.9,24.4,25.2,38.4,94.6,22.4
812,801-1000,Chulalongkorn University,"34,095",11.5,3%,58 : 42,29.8–33.9,31.5,25.5,34.5,87.5,38.1
813,801-1000,Clemson University,"23,491",15.5,6%,49 : 51,29.8–33.9,25.2,21.4,41.7,40.9,43.7
814,801-1000,University of Clermont Auvergne,"36,630",20.9,15%,57 : 43,29.8–33.9,18.7,16.3,48.9,38.2,61.2
815,801-1000,Coventry University,"32,820",16.1,47%,48 : 52,29.8–33.9,18.8,14.4,52.4,37.1,94.0
816,801-1000,CY Cergy Paris University,"14,999",19.6,23%,52 : 48,29.8–33.9,22.7,24.6,35.9,42.4,88.2
817,801-1000,University of Dayton,"11,183",16.5,11%,48 : 52,29.8–33.9,32.6,25.4,29.5,43.4,33.1
818,801-1000,University of Deusto,"9,518",20.1,11%,58 : 42,29.8–33.9,18.9,20.3,49.9,46.1,47.4
819,801-1000,Diego Portales University,"17,613",16.0,2%,50 : 50,29.8–33.9,15.4,11.1,69.5,36.9,52.1
820,801-1000,Donghua University,"22,434",14.4,6%,45 : 55,29.8–33.9,20.7,19.6,55.1,65.0,32.2
821,801-1000,Duzce University,"21,552",35.5,8%,44 : 56,29.8–33.9,20.4,14.6,56.7,83.5,26.6
822,801-1000,Edge Hill University,"10,990",15.4,7%,69 : 31,29.8–33.9,17.7,14.2,58.0,37.0,49.1
823,801-1000,"University of Engineering and Technology, Peshawar","8,680",20.7,1%,6 : 94,29.8–33.9,14.2,11.8,62.0,38.2,44.6
824,801-1000,Ewha Womans University,"14,746",17.5,13%,100 : 0,29.8–33.9,32.3,33.1,26.2,70.4,44.3
825,801-1000,Federal University of Minas Gerais,"40,998",12.9,1%,53 : 47,29.8–33.9,34.2,19.1,42.2,38.7,29.4
826,801-1000,Universidade Federal de Sergipe,"26,327",15.8,0%,51 : 49,29.8–33.9,17.4,9.9,67.2,36.9,23.1
827,801-1000,Firat University,"39,961",20.6,5%,37 : 63,29.8–33.9,15.6,9.0,74.6,37.0,25.1
828,801-1000,Florida Agricultural and Mechanical University,"9,342",16.8,1%,66 : 34,29.8–33.9,36.8,13.8,36.8,37.3,41.5
829,801-1000,Florida Atlantic University,"24,191",18.7,10%,64 : 36,29.8–33.9,21.5,19.3,46.0,42.6,48.5
830,801-1000,University of Foggia,"11,292",31.8,1%,63 : 37,29.8–33.9,17.9,21.3,55.7,38.8,26.3
831,801-1000,University of the Free State,"33,826",36.8,2%,63 : 37,29.8–33.9,18.1,17.6,49.4,40.1,47.3
832,801-1000,Fujita Health University,"3,082",3.8,1%,57 : 43,29.8–33.9,25.1,11.7,64.0,40.2,20.5
833,801-1000,Fuzhou University,"39,987",16.8,1%,39 : 61,29.8–33.9,17.2,14.4,60.1,55.0,29.0
834,801-1000,University of Girona,"14,011",21.1,15%,57 : 43,29.8–33.9,18.9,21.9,52.8,39.6,53.0
835,801-1000,Guangdong University of Technology,"46,040",18.1,0%,29 : 71,29.8–33.9,16.2,14.8,69.9,61.1,25.1
836,801-1000,Hiroshima University,"14,612",8.1,9%,37 : 63,29.8–33.9,32.5,23.5,29.7,49.6,38.6
837,801-1000,Indian Institute of Technology Patna,"2,203",17.9,0%,18 : 82,29.8–33.9,27.2,24.0,50.1,37.1,17.8
838,801-1000,Indian Institute of Technology Gandhinagar,"1,782",15.1,1%,26 : 74,29.8–33.9,34.0,27.5,34.2,44.8,23.9
839,801-1000,Universitat Internacional de Catalunya,"5,172",14.0,34%,63 : 37,29.8–33.9,17.6,15.6,57.0,40.2,63.7
840,801-1000,University of Ioannina,"32,168",39.6,3%,69 : 31,29.8–33.9,15.5,14.5,60.6,39.0,43.4
841,801-1000,ISCTE-University Institute of Lisbon,"9,374",24.9,17%,52 : 48,29.8–33.9,24.0,32.0,36.0,41.8,55.5
842,801-1000,The Islamia University of Bahawalpur,"35,698",28.5,0%,46 : 54,29.8–33.9,21.4,12.1,62.9,37.1,43.2
843,801-1000,Istanbul Medeniyet University,"10,536",13.4,3%,52 : 48,29.8–33.9,17.7,9.9,66.4,37.0,22.7
844,801-1000,University of Jaén,"13,767",16.4,9%,57 : 43,29.8–33.9,18.5,17.6,54.7,37.1,44.7
845,801-1000,Juntendo University,"5,980",4.6,3%,55 : 45,29.8–33.9,33.5,18.6,47.3,52.9,22.8
846,801-1000,Kansas State University,"19,927",13.1,7%,51 : 49,29.8–33.9,27.5,20.8,41.0,42.2,46.9
847,801-1000,Karlstad University,"9,698",14.0,%,63 : 37,29.8–33.9,17.3,14.4,54.6,37.5,41.2
848,801-1000,Kerman University of Medical Sciences,"5,226",3.4,2%,,29.8–33.9,30.6,9.9,51.2,41.0,20.8
849,801-1000,Kindai University,"33,234",14.6,2%,32 : 68,29.8–33.9,19.7,11.0,59.8,41.3,27.6
850,801-1000,King Faisal University,"27,805",13.1,2%,67 : 33,29.8–33.9,18.4,9.4,55.4,43.0,74.1
851,801-1000,King Khalid University,"39,389",8.3,7%,55 : 45,29.8–33.9,21.8,8.9,52.9,37.9,79.3
852,801-1000,King Mongkut’s University of Technology Thonburi,"15,116",19.8,2%,46 : 54,29.8–33.9,18.4,18.6,57.0,71.8,36.0
853,801-1000,Kingston University,"14,975",19.4,43%,58 : 42,29.8–33.9,18.9,16.1,39.5,37.3,87.7
854,801-1000,KL University,"17,801",14.5,2%,36 : 64,29.8–33.9,16.9,9.6,68.4,37.2,17.2
855,801-1000,Kobe University,"15,477",10.3,8%,36 : 64,29.8–33.9,33.3,25.2,38.5,46.7,33.1
856,801-1000,Kurume University,"5,062",7.6,2%,,29.8–33.9,23.0,11.0,60.5,39.4,23.8
857,801-1000,Kuwait University,"24,680",15.2,15%,76 : 24,29.8–33.9,18.2,10.2,61.5,38.9,68.5
858,801-1000,Kyungpook National University,"18,892",20.2,13%,47 : 53,29.8–33.9,29.2,35.6,27.5,88.0,44.2
859,801-1000,University of Lahore,"27,149",14.8,2%,37 : 63,29.8–33.9,15.3,9.6,65.3,37.5,47.1
860,801-1000,Lakehead University,"8,365",25.8,21%,55 : 45,29.8–33.9,18.3,23.0,46.3,38.9,57.6
861,801-1000,University of La Laguna,"18,270",12.8,5%,58 : 42,29.8–33.9,18.2,14.2,55.2,38.4,47.9
862,801-1000,University of Latvia,"11,877",32.7,7%,68 : 32,29.8–33.9,18.6,27.6,45.3,47.0,54.7
863,801-1000,Leeds Beckett University,"18,945",20.3,13%,54 : 46,29.8–33.9,16.7,16.5,58.8,37.4,57.3
864,801-1000,Lithuanian University of Health Sciences,"6,167",8.6,22%,75 : 25,29.8–33.9,21.0,10.6,60.7,37.4,58.9
865,801-1000,University of Ljubljana,"37,615",13.1,8%,60 : 40,29.8–33.9,21.9,19.5,47.1,42.7,47.9
866,801-1000,University of Lleida,"9,164",15.4,10%,59 : 41,29.8–33.9,20.7,19.5,49.1,41.9,42.2
867,801-1000,Lovely Professional University,"33,469",14.8,6%,24 : 76,29.8–33.9,18.2,10.6,66.8,38.1,28.9
868,801-1000,Mae Fah Luang University,"13,802",21.0,4%,73 : 27,29.8–33.9,15.5,12.4,58.8,38.8,47.0
869,801-1000,Mahidol University,"28,477",9.0,5%,64 : 36,29.8–33.9,32.8,22.5,35.8,69.8,45.7
870,801-1000,Makerere University,"31,233",21.0,3%,51 : 49,29.8–33.9,21.8,27.7,34.5,52.2,57.6
871,801-1000,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),"8,140",13.3,7%,48 : 52,29.8–33.9,19.8,18.2,58.7,39.6,51.5
872,801-1000,University of Malta,"9,687",10.7,13%,60 : 40,29.8–33.9,19.6,16.7,53.4,37.5,62.6
873,801-1000,Manipal Academy of Higher Education,"23,002",9.0,12%,49 : 51,29.8–33.9,40.9,17.8,32.6,46.7,36.8
874,801-1000,Marquette University,"10,540",12.0,3%,57 : 43,29.8–33.9,37.5,16.6,37.9,38.7,25.6
875,801-1000,Masaryk University,"32,271",18.9,23%,62 : 38,29.8–33.9,23.9,29.7,34.0,38.1,66.7
876,801-1000,Medical University of Gdańsk,"6,344",5.6,16%,65 : 35,29.8–33.9,25.3,9.3,55.7,37.0,41.9
877,801-1000,University of Memphis,"16,520",14.7,5%,60 : 40,29.8–33.9,29.3,17.7,42.2,37.2,29.9
878,801-1000,University of Minho,"19,922",19.6,16%,55 : 45,29.8–33.9,24.4,28.9,38.8,58.9,57.6
879,801-1000,Mississippi State University,"21,810",15.2,3%,52 : 48,29.8–33.9,22.8,18.5,44.9,40.6,41.6
880,801-1000,University of Missouri-St Louis,"6,365",15.8,5%,58 : 42,29.8–33.9,33.1,18.8,44.2,47.4,41.7
881,801-1000,Montana State University,"14,094",16.0,3%,47 : 53,29.8–33.9,21.0,17.7,57.6,45.5,36.9
882,801-1000,Monterrey Institute of Technology,"15,735",14.3,10%,43 : 57,29.8–33.9,20.4,19.6,52.3,60.9,57.7
883,801-1000,University of Namur,"6,753",20.8,12%,57 : 43,29.8–33.9,20.6,21.2,46.5,45.0,67.9
884,801-1000,Nanjing Forestry University,"32,318",17.6,1%,,29.8–33.9,16.6,9.3,67.5,41.1,22.7
885,801-1000,Nanjing University of Information Science and Technology,"33,008",16.7,3%,,29.8–33.9,17.7,16.1,61.0,44.2,33.6
886,801-1000,Nanjing Normal University,"31,211",13.0,2%,70 : 30,29.8–33.9,21.7,13.7,58.7,52.7,24.9
887,801-1000,Nanjing Tech University,"38,866",13.5,3%,,29.8–33.9,19.1,13.7,58.9,61.3,30.1
888,801-1000,National Institute of Applied Sciences of Lyon (INSA Lyon),"6,382",18.9,27%,36 : 64,29.8–33.9,32.4,22.9,30.8,77.4,70.8
889,801-1000,École Nationale des Travaux Publics de l'État (ENTPE),809,15.3,13%,42 : 58,29.8–33.9,31.3,34.7,24.9,77.2,62.1
890,801-1000,National University of Sciences and Technology,"11,737",9.4,5%,34 : 66,29.8–33.9,21.5,17.7,50.9,39.2,47.4
891,801-1000,National Sun Yat-Sen University,"8,150",12.3,8%,40 : 60,29.8–33.9,25.1,33.2,27.1,54.8,44.3
892,801-1000,National Taiwan Normal University,"10,699",12.2,16%,,29.8–33.9,28.0,34.4,28.8,74.4,51.8
893,801-1000,National Technical University of Athens,"13,732",19.9,6%,33 : 67,29.8–33.9,23.3,21.6,43.9,99.1,38.1
894,801-1000,National Institute of Technology Hamirpur,"3,823",20.7,0%,22 : 78,29.8–33.9,17.0,16.6,72.1,39.2,14.9
895,801-1000,"National Institute of Technology, Tiruchirappalli","7,037",18.5,2%,23 : 77,29.8–33.9,30.2,15.9,49.8,39.2,17.6
896,801-1000,The New School,"9,692",9.7,35%,74 : 26,29.8–33.9,25.2,14.5,47.2,37.0,53.0
897,801-1000,New Mexico State University (Main campus),"12,285",16.0,6%,58 : 42,29.8–33.9,23.2,22.2,44.8,39.9,37.5
898,801-1000,Nippon Medical School,905,0.9,0%,37 : 63,29.8–33.9,26.8,9.5,64.4,37.3,18.4
899,801-1000,University of North Carolina at Greensboro,"18,637",19.5,3%,67 : 33,29.8–33.9,25.1,19.0,48.3,37.3,25.9
900,801-1000,"Northeastern University, China","39,155",14.8,2%,,29.8–33.9,27.1,24.8,31.3,93.0,37.3
901,801-1000,Northeast Normal University,"30,310",18.7,4%,70 : 30,29.8–33.9,25.0,13.9,54.6,40.2,25.0
902,801-1000,University of Northern British Columbia (UNBC),"3,008",15.6,11%,63 : 37,29.8–33.9,19.1,21.5,45.2,37.4,45.9
903,801-1000,Northern Illinois University,"13,768",14.4,7%,53 : 47,29.8–33.9,28.3,16.7,47.1,37.6,51.2
904,801-1000,Old Dominion University,"18,368",17.5,3%,56 : 44,29.8–33.9,23.2,19.5,47.4,36.9,31.7
905,801-1000,Ozyegin University,"5,958",27.2,7%,44 : 56,29.8–33.9,17.2,20.1,46.6,41.2,48.8
906,801-1000,Pablo de Olavide University,"12,849",14.4,18%,59 : 41,29.8–33.9,17.4,16.7,51.2,37.5,51.0
907,801-1000,University of Palermo,"32,351",22.4,1%,58 : 42,29.8–33.9,17.8,21.9,56.3,37.5,32.0
908,801-1000,Panjab University,"18,918",17.6,1%,41 : 59,29.8–33.9,30.5,14.6,60.0,37.5,17.1
909,801-1000,Panthéon-Sorbonne University – Paris 1,"35,547",29.0,20%,61 : 39,29.8–33.9,34.5,32.1,18.4,37.1,62.8
910,801-1000,Parthenope University of Naples,"11,555",33.7,2%,42 : 58,29.8–33.9,16.7,20.3,63.0,38.1,27.8
911,801-1000,Universiti Pendidikan Sultan Idris,"5,968",9.9,18%,55 : 45,29.8–33.9,28.4,25.5,33.9,99.9,61.7
912,801-1000,University of Peshawar,"6,107",9.0,1%,32 : 68,29.8–33.9,30.5,10.8,53.2,37.0,42.2
913,801-1000,University of the Philippines,"46,714",10.6,0%,52 : 48,29.8–33.9,21.4,16.6,62.5,41.4,34.6
914,801-1000,Universitat Politècnica de Catalunya,"22,280",9.5,14%,27 : 73,29.8–33.9,27.3,19.3,43.8,43.5,58.7
915,801-1000,Polytechnic University of Valencia,"23,406",12.7,14%,41 : 59,29.8–33.9,25.7,21.8,38.4,48.9,51.2
916,801-1000,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),"13,453",18.7,3%,50 : 50,29.8–33.9,28.1,25.6,30.9,94.6,37.4
917,801-1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS),"14,096",21.3,1%,52 : 48,29.8–33.9,25.6,17.1,50.2,41.7,29.6
918,801-1000,Pontifical Javeriana University,"27,346",14.2,2%,55 : 45,29.8–33.9,17.5,11.1,68.7,36.9,43.6
919,801-1000,University of Pretoria,"36,492",21.7,7%,59 : 41,29.8–33.9,27.9,31.6,35.3,44.2,54.9
920,801-1000,Princess Nourah bint Abdulrahman University,"25,955",13.1,15%,100 : 0,29.8–33.9,22.9,13.6,46.3,45.6,85.5
921,801-1000,University of the Punjab,"28,384",22.4,1%,52 : 48,29.8–33.9,24.2,14.0,52.1,37.5,39.1
922,801-1000,University of Rennes 1,"28,275",18.5,11%,52 : 48,29.8–33.9,27.5,17.0,43.2,40.9,56.9
923,801-1000,University of Rhode Island,"15,851",14.5,3%,57 : 43,29.8–33.9,23.3,18.0,56.0,37.2,44.7
924,801-1000,Rhodes University,"6,872",17.0,14%,63 : 37,29.8–33.9,24.8,13.4,43.4,60.9,62.0
925,801-1000,University of Roehampton,"7,780",16.2,33%,69 : 31,29.8–33.9,20.1,21.4,39.5,37.3,81.2
926,801-1000,University of Rome III,"33,264",47.7,5%,61 : 39,29.8–33.9,22.1,24.1,42.2,41.8,40.7
927,801-1000,Roskilde University,"6,100",15.8,16%,64 : 36,29.8–33.9,19.5,32.1,41.7,43.6,59.8
928,801-1000,University of Salento,"13,608",22.6,1%,62 : 38,29.8–33.9,26.1,19.3,53.2,39.8,29.6
929,801-1000,University of Salford,"18,220",18.7,20%,55 : 45,29.8–33.9,18.0,14.9,46.1,38.0,74.3
930,801-1000,University of Science and Technology Beijing,"28,432",16.1,4%,36 : 64,29.8–33.9,27.4,29.8,41.0,59.5,22.3
931,801-1000,Shahid Beheshti University,"19,695",23.4,1%,50 : 50,29.8–33.9,27.1,27.4,36.2,56.3,23.7
932,801-1000,Shantou University,"14,119",12.2,1%,45 : 55,29.8–33.9,19.4,15.5,53.7,40.6,33.9
933,801-1000,Sheffield Hallam University,"25,650",17.2,13%,55 : 45,29.8–33.9,18.7,14.3,60.8,37.1,57.3
934,801-1000,Shiraz University,"14,552",20.2,1%,53 : 47,29.8–33.9,28.3,24.4,37.1,49.5,24.8
935,801-1000,Shiraz University of Medical Sciences,"10,228",10.4,3%,57 : 43,29.8–33.9,34.7,11.0,52.2,37.0,21.3
936,801-1000,University of Siegen,"12,633",26.4,12%,56 : 44,29.8–33.9,21.8,27.3,41.4,40.6,52.3
937,801-1000,University of South Bohemia in České Budějovice,"8,763",13.8,7%,69 : 31,29.8–33.9,19.4,17.1,46.9,36.9,51.2
938,801-1000,South China Normal University,"30,041",16.4,3%,,29.8–33.9,21.1,19.2,51.7,53.4,32.9
939,801-1000,Southern Illinois University Carbondale,"10,130",13.8,7%,50 : 50,29.8–33.9,35.2,23.9,35.2,47.1,33.9
940,801-1000,Sunway University,"4,638",8.6,15%,53 : 47,29.8–33.9,20.4,12.0,58.0,37.6,73.2
941,801-1000,Symbiosis International University,"16,305",13.0,6%,54 : 46,29.8–33.9,18.6,10.2,73.4,37.3,28.7
942,801-1000,Taibah University,"59,028",21.7,3%,62 : 38,29.8–33.9,15.2,9.0,55.1,37.2,74.7
943,801-1000,Tanta University,"129,209",19.2,1%,54 : 46,29.8–33.9,19.1,8.4,62.8,37.1,42.9
944,801-1000,"University of Technology, Iraq","10,321",6.9,0%,50 : 50,29.8–33.9,22.0,9.5,60.0,39.6,24.6
945,801-1000,Universiti Tenaga Nasional (UNITEN),"4,987",11.4,11%,34 : 66,29.8–33.9,20.7,15.0,51.1,77.9,52.6
946,801-1000,University of Texas at El Paso,"17,908",30.2,7%,54 : 46,29.8–33.9,26.6,31.7,32.8,36.9,41.6
947,801-1000,Texas Tech University,"35,957",19.4,7%,49 : 51,29.8–33.9,29.7,19.2,42.9,37.6,50.5
948,801-1000,University of Thessaly,"21,962",30.2,2%,52 : 48,29.8–33.9,16.0,14.4,61.3,38.7,37.8
949,801-1000,Toronto Metropolitan University,"36,218",42.4,8%,56 : 44,29.8–33.9,19.7,30.8,36.5,40.5,59.0
950,801-1000,Tribhuvan University,"460,632",30.9,0%,50 : 50,29.8–33.9,12.8,7.9,71.2,37.0,45.4
951,801-1000,University of Urbino Carlo Bo,"15,336",42.1,6%,62 : 38,29.8–33.9,16.2,17.1,59.1,42.7,49.3
952,801-1000,Vilnius University,"17,012",10.2,9%,69 : 31,29.8–33.9,21.4,18.7,47.3,45.9,55.5
953,801-1000,VIT University,"33,416",17.0,4%,30 : 70,29.8–33.9,22.9,14.6,52.9,38.9,31.5
954,801-1000,University of Warsaw,"37,090",12.0,10%,63 : 37,29.8–33.9,26.8,27.4,42.6,37.8,43.0
955,801-1000,Wenzhou Medical University,"19,243",11.2,5%,63 : 37,29.8–33.9,17.7,14.2,67.1,38.5,26.5
956,801-1000,University of Winchester,"7,290",16.8,10%,66 : 34,29.8–33.9,16.7,15.7,61.1,37.0,52.8
957,801-1000,University of Wisconsin-Milwaukee,"19,218",19.3,5%,56 : 44,29.8–33.9,22.9,22.2,55.8,38.0,33.4
958,801-1000,Worcester Polytechnic Institute,"5,949",12.7,19%,38 : 62,29.8–33.9,23.6,19.3,53.8,38.5,52.2
959,801-1000,University of Wyoming,"10,660",14.7,5%,51 : 49,29.8–33.9,27.6,14.4,57.2,39.9,32.3
960,801-1000,Yangzhou University,"31,066",13.3,11%,58 : 42,29.8–33.9,23.9,18.4,51.6,71.9,38.6
961,801-1000,Yeungnam University,"19,345",15.0,4%,50 : 50,29.8–33.9,20.2,15.3,54.0,42.7,43.3
962,801-1000,Zagazig University,"165,556",26.4,2%,52 : 48,29.8–33.9,13.9,8.3,69.5,36.9,43.5
963,801-1000,Zewail City of Science and Technology,"1,184",11.6,0%,42 : 58,29.8–33.9,23.4,16.4,56.6,41.0,31.4
964,801-1000,Zhejiang University of Finance and Economics,"17,260",21.3,3%,63 : 37,29.8–33.9,14.0,11.3,64.8,38.6,25.2
965,1001-1200,University of A Coruña,"14,937",12.2,5%,52 : 48,24.4–29.7,19.9,17.2,32.6,39.5,34.8
966,1001-1200,"Adam Mickiewicz University, Poznań","35,901",23.9,4%,68 : 32,24.4–29.7,19.3,25.3,28.3,39.2,34.1
967,1001-1200,Ain Shams University,"138,700",12.5,4%,53 : 47,24.4–29.7,24.0,13.1,47.3,38.1,41.2
968,1001-1200,Al-Farabi Kazakh National University,"24,229",5.7,15%,56 : 44,24.4–29.7,27.3,10.8,26.2,41.1,69.2
969,1001-1200,University of Algarve,"8,443",14.0,22%,58 : 42,24.4–29.7,16.9,17.3,40.6,37.6,69.6
970,1001-1200,University of Almería,"13,050",17.5,12%,55 : 45,24.4–29.7,20.0,17.6,36.9,39.1,42.3
971,1001-1200,Amity University,"31,383",16.2,6%,52 : 48,24.4–29.7,20.1,12.6,47.9,37.8,22.7
972,1001-1200,University of Anbar,"26,521",15.9,0%,56 : 44,24.4–29.7,16.0,8.6,56.2,37.1,29.0
973,1001-1200,"University of the Andes, Colombia","15,312",12.7,1%,45 : 55,24.4–29.7,20.3,19.4,36.7,44.1,53.2
974,1001-1200,Arts et Métiers,"6,230",16.5,14%,18 : 82,24.4–29.7,25.8,16.0,24.2,60.7,63.5
975,1001-1200,Assiut University,"84,941",14.9,1%,55 : 45,24.4–29.7,16.9,9.4,47.1,37.0,46.9
976,1001-1200,Atılım University,"8,325",11.1,7%,42 : 58,24.4–29.7,17.0,9.0,52.7,37.3,40.7
977,1001-1200,Autonomous University of Sinaloa,"74,001",21.8,0%,56 : 44,24.4–29.7,18.6,7.7,62.7,37.0,23.7
978,1001-1200,Babeş-Bolyai University,"39,811",21.0,4%,64 : 36,24.4–29.7,18.8,16.0,37.6,37.5,40.8
979,1001-1200,Bahauddin Zakariya University,"29,880",36.7,0%,40 : 60,24.4–29.7,14.6,11.9,42.3,37.1,42.9
980,1001-1200,Bayero University,"44,410",25.9,0%,33 : 67,24.4–29.7,17.0,8.8,41.5,37.4,45.5
981,1001-1200,Beijing Jiaotong University,"29,086",14.7,5%,,24.4–29.7,25.3,28.3,22.5,61.9,32.3
982,1001-1200,University of Botswana,"13,063",17.6,4%,57 : 43,24.4–29.7,16.5,12.6,40.9,37.0,63.7
983,1001-1200,Bowling Green State University,"15,199",15.7,4%,57 : 43,24.4–29.7,21.5,12.7,38.8,37.0,25.8
984,1001-1200,Instituto Politécnico de Bragança,"8,845",19.4,32%,54 : 46,24.4–29.7,13.5,12.6,43.3,40.3,67.3
985,1001-1200,University of Burgos,"7,599",13.5,5%,51 : 49,24.4–29.7,20.0,14.4,34.8,38.5,36.2
986,1001-1200,University of Calcutta,"19,119",15.6,0%,51 : 49,24.4–29.7,39.3,14.7,21.4,43.0,16.6
987,1001-1200,Cardiff Metropolitan University,"9,380",18.6,22%,54 : 46,24.4–29.7,17.4,12.5,35.8,37.6,73.0
988,1001-1200,Carlos III University of Madrid,"18,133",11.0,17%,46 : 54,24.4–29.7,26.2,18.8,25.2,42.0,61.8
989,1001-1200,Technical University of Cartagena,"4,466",10.0,9%,27 : 73,24.4–29.7,22.3,12.5,34.8,40.1,38.9
990,1001-1200,University of Castilla-La Mancha,"22,524",12.8,8%,57 : 43,24.4–29.7,19.6,16.0,36.9,38.7,40.1
